GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assessment-service,com.medilabo.assessment.service,AssessmentService,5,257,4,28,2,58,4,22,0,10
assessment-service,com.medilabo.assessment.client,NotesClient,0,24,0,0,0,5,0,2,0,2
assessment-service,com.medilabo.assessment.client,NotesClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
assessment-service,com.medilabo.assessment.client,PatientClient,0,18,0,0,0,4,0,2,0,2
assessment-service,com.medilabo.assessment,AssessmentApplication,5,3,0,0,2,1,1,1,1,1
assessment-service,com.medilabo.assessment.dto,AssessmentResponseDTO,0,52,0,0,0,23,0,15,0,15
assessment-service,com.medilabo.assessment.dto,NoteDTO,0,31,0,0,0,14,0,9,0,9
assessment-service,com.medilabo.assessment.dto,PatientDTO,14,38,0,0,6,17,4,11,4,11
assessment-service,com.medilabo.assessment.exception,GlobalExceptionHandler,0,92,0,0,0,17,0,5,0,5
assessment-service,com.medilabo.assessment.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
assessment-service,com.medilabo.assessment.controller,AssessmentController,0,11,0,0,0,4,0,2,0,2
